Name	Gain	Noise	Cost
511-BAL-CC25-01D3	-0.66	0.66	0.512
511-BALF-2690-02D3	-1.2	1.2	0.61
511-BALF-CC25-02D3	-1.8	1.8	0.442
511-BALF-CC26-05D3	-1.2	1.2	0.492
511-BALF-NRF01D3	-1.35	1.35	0.613
511-BALF-NRF01J5	-2.2	2.2	0.512
511-BALF-NRG-02D3	-1.33	1.33	0.492
511-BAL-NRF02D3	-1.9	1.9	0.613
511-BAL-WILC10-01D3	-0.65	0.65	0.603
581-CP0302P5425ENTR	-0.4	0.4	0.603
609-2450BP14D0100T	-1.7	1.7	0.522
609-2450LP14B100T	-0.5	0.5	0.543
772-856604	-1.7	1.7	7.76
81-LFB211G90SG8B704	-3	3	0.26
81-LFB212G45SG8A143	-2.7	2.7	0.37
81-LFB212G49SG8B830	-2.4	2.4	1.03
81-SF2160E	-2.4	2.4	5.38
81-SF2225E	-2.1	2.1	4.83
871-B39212B9469K610	-2.2	2.2	0.802
871-B39232B3471H910	-2	2	5.71
871-B39242B8328P810	-1.65	1.65	2.78
871-B39252B8312P810	-2	2	1.66
963-F6HF2G350AF41-Z	-2.3	2.3	5.34
963-FAF6KA2G1400D4CG	-1.9	1.9	0.879
963-FAF6KB2G1400B4GC	-1.7	1.7	0.879
