Name	Gain	Noise	Cost
459-GRF2072	19.3	0.5	3.42
459-GRF2201	20.7	0.73	1.29
494-LX5561LL-TR	13	1.5	1.32
494-LX5563LL-TR	14	1.3	1.04
513-NJG1117HA8	19.5	0.7	2.74
579-12LN01QU6E	14	1.55	1.04
726-A524N6E6327XTSA1	19.6	0.55	1.20
726-BGA123L4E6327XTS	18.2	0.75	1.04
726-BGA5H1BN6E6327XT	18.3	0.7	0.622
726-BGA825L6SE6327AT	17.0	0.6	0.776
726-BGB707L7ESDE6327	27.0	0.7	1.02
726-BGM15HA12E6327XT	16.3	1.35	1.00
771-BGU7004,115	17.3	0.89	1.40
771-BGU7005115	16.5	0.85	0.733
771-BGU7224X	15	1	0.68
772-QPL6207QTR7	18.5	0.45	5.96
772-RFFM4227SR	15	1.3	0.919
772-TGA2227	16.5	0.85	1.40
873-SKY65006-348LF	27	6.2	3.54
873-SKY65611-11	16.5	0.65	1.37
873-SKY65623-682LF	16.8	0.85	1.03
873-SKY65805-696LF	13	1.1	2.33
873-SKY65971-11	13	1.3	1.06
937-MAALSS0042-T3	27.0	1.15	3.98
968-ISL55012IEZ-T7	16.6	4.7	1.55
