Name	Gain	Noise	Cost
584-AD8342ACPZ-R7	-3.7	12.2	8.12
584-ADL5353ACPZ-R7	-8.7	9.8	14.72
584-ADL5363ACPZ-R7	-7.7	7.6	12.64
584-C5548IUDBTRMPBF	-7.1	8	20.91
584-C5549IUDBTRMPBF	-8	7.9	20.91
584-HMC219BMS8GE	-11	8	12.39
584-HMC785LP4E	-10	8	19.10
584-HMC785LP4ETR	-10	8	19.1
584-LTC5548IUDBTRPBF	-7.1	8	20.80
700-MAX2042AETP+	-7.2	7.3	11.85
700-MAX2042ETP	-7.2	7.3	17.05
72-RFFC5072SR	-2	15	44.06
772-RF2051 	-2	12	28.48
772-RF2052	-2	12	21.16
772-RF2053	-2	12	18.81
772-RF2053SR	-2	12	11.29
772-RF2054TR13	-3.5	11	10.15
772-RFFC2071	-2	13	12.98
772-RFFC2071ASR	-2	13	24.53
772-RFFC2071SR	-2	13	21.85
772-RFFC2072A	-2	13	13.12
772-RFFC2072SR	-2	10	34.55
772-RFFC5071ASR	-2	15	31.21
772-RFFC5072ASR	-2	15	28.45
772-RFFC5072SR	-2	15	20.46
