Name	Gain	Noise	Cost
513-NJG1662MD7	-0.4	0.4	0.98
513-NJG1663K44	-0.45	0.45	2.18
513-NJG1681MD7	-0.223	0.223	4.44
513-NJG1697EM1	-0.55	0.55	3.79
513-NJG1699MD7	-0.6	0.6	1.6
513-NJG1802K51	-0.23	0.23	1.10
551-CG2176X3-C2	-0.55	0.55	2.59
551-CG2185X2-C2	-0.4	0.4	1.55
726-BGS12PL6E6327XTS	-1.15	1.15	0.503
772-QPC1217QTR13-5K	-0.79	0.79	3.66
772-RF2052	-0.55	0.55	3.79
772-RF5570	-0.6	0.6	1.43
772-RF5570SR	-0.6	0.6	0.857
772-RF5840	-0.8	0.8	1.08
81-XM0860SH-DL0601	-0.23	0.23	0.472
81-XM2400SN-AL0901	-0.5	0.5	1.49
81-XM2400SN-AL0907	-0.5	0.5	1.33
873-SKY12241-492LF	-0.55	0.55	17.50
873-SKY13290-313LF	-0.55	0.55	7.56
873-SKY13366-378LF	-0.5	0.5	0.92
873-SKY13586-678LF	-0.75	0.75	2.20
937-MASW-011107-DIE	-1.3	1.3	16.4
937-MASWSS0157-T	-0.6	0.6	4.37
937-MASWSS0179-T	-0.6	0.6	1.44
937-MASWSS0201TR	-1.5	1.5	4.71
